cut_fraction,strategy,sizing,full_months,total_realized_profit,mean_monthly_profit,median_monthly_profit,positive_month_fraction,worst_month,best_month,total_deployed,mean_budget_utilization
0.6,market_gated_per_level,availability_target_5000,12,1637.5599999999997,136.4633333333333,1.8799999999999937,0.5833333333333334,-74.57000000000005,1702.15,2389.419999999999,0.03982366666666665
0.6,market_gated_per_level,one_dollar_until_exhausted,12,113.01000000000002,9.417500000000002,0.9950000000000003,0.5833333333333334,-24.299999999999986,71.65,664.7600000000001,0.011079333333333337
0.6,market_price_gated_global,availability_target_5000,12,1600.0,133.33333333333334,0.4049999999999939,0.5833333333333334,-78.81000000000003,1702.2100000000005,2389.419999999999,0.03982366666666665
0.6,market_price_gated_global,one_dollar_until_exhausted,12,96.55000000000003,8.045833333333336,-2.015000000000001,0.5,-19.979999999999983,71.89999999999999,664.7600000000001,0.011079333333333337
0.6,ungated_per_level,availability_target_5000,12,54.23000000000002,4.519166666666668,-21.964999999999996,0.4166666666666667,-336.6199999999999,706.07,5958.829999999987,0.0993138333333331
0.6,ungated_per_level,one_dollar_until_exhausted,12,103.84999999999974,8.654166666666645,13.910000000000004,0.6666666666666666,-99.92000000000002,93.06999999999992,1735.7399999999993,0.028928999999999993
0.7,market_gated_per_level,availability_target_5000,9,95.48999999999873,10.609999999999859,-30.810000000000016,0.3333333333333333,-207.80000000000067,606.0599999999997,5165.1600000000035,0.11478133333333343
0.7,market_gated_per_level,one_dollar_until_exhausted,9,-172.09000000000026,-19.12111111111114,-10.670000000000002,0.2222222222222222,-65.24000000000012,23.18,1634.8699999999992,0.03633044444444442
0.7,market_price_gated_global,availability_target_5000,9,735.0000000000007,81.66666666666674,-20.089999999999964,0.3333333333333333,-84.53000000000009,877.6000000000006,1242.1399999999994,0.027603111111111092
0.7,market_price_gated_global,one_dollar_until_exhausted,9,-92.44000000000004,-10.271111111111116,-9.44,0.3333333333333333,-36.67000000000002,24.18999999999999,482.8700000000001,0.010730444444444449
0.7,ungated_per_level,availability_target_5000,9,-489.25000000000125,-54.36111111111125,-9.530000000000015,0.4444444444444444,-411.0899999999993,246.69999999999996,13809.319999999996,0.30687377777777763
0.7,ungated_per_level,one_dollar_until_exhausted,9,-211.67999999999932,-23.519999999999925,2.02,0.5555555555555556,-266.3099999999986,111.74999999999997,6194.99999999998,0.13766666666666624
0.8,market_gated_per_level,availability_target_5000,5,-929.0300000000001,-185.806,-192.88999999999996,0.2,-339.91999999999973,1.6099999999999999,5517.299999999996,0.22069199999999983
0.8,market_gated_per_level,one_dollar_until_exhausted,5,-286.9499999999996,-57.389999999999915,-38.35000000000005,0.2,-116.46999999999983,1.6099999999999999,2011.4100000000035,0.08045640000000014
0.8,market_price_gated_global,availability_target_5000,5,-710.6500000000001,-142.13000000000002,-150.67000000000013,0.2,-289.3099999999999,0.65,2458.539999999999,0.09834159999999996
0.8,market_price_gated_global,one_dollar_until_exhausted,5,-239.5700000000004,-47.91400000000008,-56.390000000000036,0.2,-88.7600000000001,0.65,935.469999999999,0.03741879999999996
0.8,ungated_per_level,availability_target_5000,5,-775.2900000000037,-155.05800000000073,-209.3900000000013,0.4,-333.08999999999963,39.82999999999956,12674.590000000037,0.5069836000000014
0.8,ungated_per_level,one_dollar_until_exhausted,5,-534.8999999999999,-106.97999999999998,-84.35000000000002,0.4,-352.41999999999985,32.1599999999998,7749.210000000008,0.3099684000000003
